id,job_title,career_level,experience_level,education_level,skills
530,Senior PHP Developer / Programmer,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),"['source code', 'php', 'laravel', 'postgresql', 'github', 'timeline', 'manager']"
535,Field Specialist II - Wireline Services,Tidak Terspesifikasi,,Tidak terspesifikasi,"['service delivery', 'remote operation', 'compliance requirement', 'reach', 'oilfield services', 'business units', 'develop software', 'innovation', 'automation', 'analytics', 'machine learning', 'complex problems', 'logging', 'actuating', 'drill', 'safely', 'logistics', 'communicate', 'prioritize', 'milestones', 'communication', 'manager', 'invest', 'life insurance', 'disability', 'operations', 'color']"
536,HR Intern,Tidak Terspesifikasi,,Tidak terspesifikasi,"['industrial engineering', 'recruitment process', 'scheduling', 'manage', 'branding', 'psychology', 'management', 'multitasking', 'communication', 'english']"
538,Marketing Staff,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['marketing analytic', 'social medium', 'web analytic', 'food technology', 'adobe photoshop', 'market research', 'employ marketing', 'coordinate', 'advertising', 'activities manage', 'presentations', 'marketing business', 'english', 'illustrator']"
540,Internal Audit Staf:,Pegawai (non-manajemen & non-supervisor),3 tahun,Tidak terspesifikasi,"['financial statement', 'key control', 'problem solve', 'executing', 'audit process', 'plan', 'accounts', 'audit', 'audit report', 'flow process', 'analytical', 'auditing', 'writing', 'communication skills', 'english']"
541,ONSITE ENGINEER,Tidak Terspesifikasi,,Tidak terspesifikasi,"['technical support', 'computer science', 'information technology', 'engineering computer', 'telecommunication', 'database sql', 'operating', 'communication', 'project based']"
544,Content Creator,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['social medium', 'social medium marketing', 'marketing material', 'visual communication', 'graphic design', 'video editing', 'schedule', 'media social', 'operating', 'photography', 'videography']"
546,Node.JS Developer (Jakarta - Yogyakarta),Pegawai (non-manajemen & non-supervisor),1 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['problem solve', 'payment gateway', 'web application', 'google hangout', 'api', 'node', 'linux', 'unix', 'javascript', 'mysql', 'rest api', 'agile development']"
547,Finance Controller,CEO/GM/Direktur/Manajer Senior,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['cost accounting', 'revenue recognition', 'technical accounting', 'business process', 'internal control', 'financial statement', 'cash flow', 'tax preparation', 'manage', 'accounting', 'operations', 'billing', 'research', 'government', 'budget', 'financial forecasts', 'forecast', 'forecasts', 'coordinate', 'tax accountants', 'consultant']"
550,Sales Supervisor - Bekasi,Supervisor/Koordinator,4 tahun,Sarjana (S1),"['expense report', 'market area', 'analytical thinking', 'professional', 'sales', 'management build', 'customer relationships', 'forecast', 'manager', 'supervise', 'sales performance', 'plan', 'managing controlling', 'energetic', 'target oriented', 'leadership', 'communication', 'negotiation', 'sales retail', 'english']"
551,Property Sales Agent,Pegawai (non-manajemen & non-supervisor),3 tahun,Tidak terspesifikasi,"['time management', 'verbal communication', 'english', 'communication skills', 'multitask']"
552,Operator Produksi,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,2 tahun,"SMA, SMU/SMK/STM","['com', 'data', 'weaving', 'operator', 'molding']"
554,Culinaria Kitchen Executive,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)","['market intelligence', 'cooking', 'professional', 'chef']"
555,Back End Engineer,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['back end', 'version control', 'bahasa', 'php', 'database sql', 'energetic']"
558,Platform Drafter,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak terspesifikasi,"['microsoft office', 'drawings', 'drawing work', 'autocad', 'telecommunication', 'english', 'telecommunications', 'communication skills', 'teamwork', 'coordination']"
560,Trade Marketing Manager,Manajer/Asisten Manajer,5 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['product assortment', 'problem solve', 'plan', 'tracking', 'promos', 'promo', 'claims', 'merchandising', 'branding', 'budget', 'liner', 'market trends', 'market channel', 'sales', 'innovative', 'collaboration', 'communication skill', 'leadership']"
562,PROJECT CARGO STAFF,Pegawai (non-manajemen & non-supervisor),,Sarjana (S1),"['project cargo', 'freight forwarding', 'write english', 'computer literacy', 'logistics', 'freight', 'export import', 'surveys', 'communication', 'coordination', 'negotiation']"
563,Accounting Supervisor,Supervisor/Koordinator,2 tahun,Sarjana (S1),"['balance sheet', 'bank reconciliation', 'account payable', 'fix asset', 'fix asset register', 'big datum', 'accounting record', 'accounting', 'documents preparing', 'accounts receivables', 'depreciation', 'reconciliation', 'physical system', 'system issuing', 'billing', 'archiving', 'accounting projects', 'perspective', 'multitasking', 'work environment']"
564,Kapster,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM","['waxing', 'massage', 'manicure', 'pedicure']"
566,Social Care Agent,Tidak Terspesifikasi,,Tidak terspesifikasi,"['digital content', 'video on demand', 'social medium', 'write communication', 'call center', 'integrated', 'economic', 'adapt', 'inquiries', 'information sharing', 'troubleshooting', 'professional', 'positive', 'research', 'communicate', 'cross functional teams', 'english', 'prioritize', 'multitask', 'schedule', 'adaptable', 'hootsuite', 'zendesk', 'disability']"
567,IT Hardware Officer,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['computer engineering', 'computer science', 'analytical thinking', 'problem solve', 'software development', 'computer hardware', 'electrical system', 'memory card', 'computer system', 'product design', 'smart device', 'manufacturing process', 'circuit boards', 'systems data', 'performance tests', 'collaborating', 'software developers']"
568,Telemarketing Specialist,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['business development', 'communication skill', 'negotiating', 'english', 'bahasa', 'non', 'marketing business']"
569,ACCOUNT EXECUTIVE,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['entry point', 'human development', 'consulting', 'operator', 'integrated', 'logistics', 'sales', 'remuneration', 'english', 'communication skill', 'wide network', 'targets', 'execute', 'logistic', 'information application', 'registration', 'recruitment process']"
570,Creative Director,CEO/GM/Direktur/Manajer Senior,2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['adobe photoshop', 'adobe illustrator', 'adobe flash', 'design portfolio', 'pdf', 'integrated design', 'advertising', 'work environment', 'self motivated', 'eye', 'communicate', 'reliable', 'creative', 'conceptual', 'translate', 'graphic designer', 'multimedia', 'audio visual', 'final cut', 'file']"
572,Specifier Project Supervisor,Supervisor/Koordinator,4 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['project proposal', 'civil engineering', 'business acumen', 'account management', 'sales', 'civil engineers', 'hub data', 'data centers', 'exhibition', 'tracking', 'targeted', 'construction', 'structure engineer', 'presentations', 'structure engineers', 'marketing manager', 'internal sales', 'sales managers', 'communication', 'stage', 'related industry', 'technical solutions', 'english', 'presentation', 'communication skill']"
576,Business Analyst,Pegawai (non-manajemen & non-supervisor),4 tahun,Sarjana (S1),"['revenue growth', 'business strategy', 'customer experience', 'business intelligence', 'business intelligence tool', 'technology solution', 'customer success', 'growth strategy', 'marketing analytic', 'google tag manager', 'digital medium', 'visual analytic', 'customer engagement', 'e commerce', 'crm', 'funnel', 'data sources', 'data', 'operate', 'data audit', 'data set', 'system design', 'system required', 'engagement strategy', 'plans', 'dashboard', 'plan', 'collaboration', 'services development', 'collaboratively', 'consulting', 'system integrator', 'hubspot', 'google analytics google', 'platforms google', 'ads', 'customer journey', 'dashboards', 'google data', 'data studio', 'analytics', 'postgis', 'finance', 'banking', 'government', 'consultancy', 'english']"
577,Senior Account Manager Corporate,Supervisor/Koordinator,2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['account manager', 'minimal', 'sales', 'manager', 'target oriented']"
578,Warehouse Keeper,Pegawai (non-manajemen & non-supervisor),3 tahun,"SMA, SMU/SMK/STM","['warehouse management', 'erp', 'statistical', 'operation', 'office software', 'new product', 'numbers', 'work', 'english', 'schedule', 'purchaser', 'planning', 'management recording', 'corrective actions']"
579,Logistic Supervisor,Supervisor/Koordinator,2 tahun,Sarjana (S1),"['warehouse operation', 'logistic', 'supervising', 'communication']"
582,Accounting & HR Manager,Manajer/Asisten Manajer,5 tahun,Tidak terspesifikasi,"['tax consulting', 'tax compliance', 'human resource management', 'resource management', 'problem solve', 'microsoft word', 'microsoft excel', 'accounting', 'manager', 'budgets', 'filings', 'manage train', 'finance', 'accountancy', 'banking', 'manager managers', 'leadership', 'communication', 'operate', 'english']"
584,Senior Graphic Designer Ecommerce,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['e commerce', 'english language', 'image', 'visual', 'planning', 'creative', 'multimedia', 'design software', 'skills basic', 'copywriting', 'supervision', 'schedules']"
588,Digital Marketing Manager,Manajer/Asisten Manajer,2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['digital marketing', 'social medium', 'corporate communication', 'press release', 'digital content', 'graphic design', 'social medium campaign', 'digital ad', 'email marketing', 'business requirement', 'verbal communication skill', 'online marketing', 'time management', 'brand', 'manager tasks', 'translating', 'planning', 'creative', 'writing', 'captions', 'ads', 'coordinate', 'flyers', 'catalogues', 'collaborations', 'key opinion leaders', 'supervise', 'outsourced', 'whatsapp', 'english', 'best practices', 'managing', 'wordpress']"
592,Account Manager,Supervisor/Koordinator,5 tahun,Sarjana (S1),"['account management', 'manage account', 'training and development', 'computer science', 'information technology', 'marketing software', 'software development', 'sales', 'manage', 'leadership', 'plans', 'targeted', 'plan', 'engineering computer', 'telecommunication', 'business management', 'business studies', 'management', 'finance', 'accountancy', 'accounting', 'sales cycle']"
594,PHP/Laravel Developers,Pegawai (non-manajemen & non-supervisor),,Tidak terspesifikasi,"['php framework', 'version control', 'control system', 'web development', 'laravel', 'sql', 'object oriented', 'communication', 'prioritize', 'git', 'write', 'maintainable', 'debug', 'best practices']"
595,Mutual Fund Business Development Manager,Tidak Terspesifikasi,,Tidak terspesifikasi,"['mutual fund', 'investment', 'high levels', 'budgets', 'accounts', 'value adding']"
596,Programmer / Developer,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['front end', 'back end', 'bahasa', 'javascript', 'database sql', 'english', 'reading']"
597,Hydro & Climate Land Officer,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,Sarjana (S1),"['soil survey', 'remote sensing', 'hec hms', 'hec ras', 'google earth', 'gis', 'qgis', 'water management', 'arcgis', 'autocad', 'dashboard', 'bahasa', 'crowdsourcing', 'programming', 'recruitment process']"
599,Sales Manager (Surabaya),Manajer/Asisten Manajer,5 tahun,Sarjana (S1),"['time management', 'problem solve', 'business development', 'execute', 'sales', 'targets', 'coordinate', 'bahasa', 'freight forwarding', 'communications', 'planning', 'manage resources', 'manager', 'marketing business']"
600,Sales Engineer,Pegawai (non-manajemen & non-supervisor),,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['market share', 'microsoft office', 'teamwork', 'new product', 'sales', 'electrical', 'automation', 'motorcycle', 'c', 'instrumentation', 'added', 'communication skills', 'maternity']"
601,Management Trainee,Supervisor/Koordinator,1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)","['cash flow', 'management', 'target oriented', 'acting', 'survey', 'accounting', 'sales']"
604,Senior Account Manager,Supervisor/Koordinator,5 tahun,Sarjana (S1),"['business strategy', 'market research', 'marketing intelligence', 'sale management', 'reporting tool', 'google workspace', 'account manager', 'long term', 'sales', 'targeted', 'source', 'forecasted', 'execute', 'instrumentation', 'session', 'customer requirements', 'schedule', 'forecasts', 'communication', 'government', 'presentation', 'analytical', 'hubspot', 'english']"
605,Operation Manager Bulk Carrier,Manajer/Asisten Manajer,7 tahun,"Diploma Pascasarjana, Gelar Professional, Magister (S2)","['safety management system', 'management system', 'analytical thinking', 'ant', 'certified master', 'operation manager', 'manager required', 'docking', 'management', 'operation', 'leadership']"
606,Area Sales Manager Kendari,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),"['promo', 'sales', 'brand', 'image']"
607,GENERAL MANAGER OPERATION,CEO/GM/Direktur/Manajer Senior,14 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['cost management', 'resource allocation', 'regulatory requirement', 'production planning', 'supply chain', 'customer satisfaction', 'product quality', 'electronic engineering', 'industrial engineering', 'injection molding', 'problem solve', 'operation', 'strategic plan', 'targets', 'planning', 'budget', 'manage', 'employer customers', 'communities corporations', 'governments', 'long term', 'manage production', 'operations', 'execute', 'sourcing', 'material planning', 'quality delivery', 'plans', 'quality product', 'operating budget', 'corrective actions', 'operation efficiency', 'electrical', 'mechanical', 'manager', 'management leadership', 'communication', 'negotiation', 'leadership', 'english']"
608,LEGAL CORPORATE,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['microsoft office', 'bahasa', 'english', 'leadership', 'teamwork']"
611,Petty Cash Staff,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak terspesifikasi,"['warehouse management', 'petty cash', 'logistics', 'accounting']"
612,Technical Sales Executive Pharma,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['pharmaceutical formulation', 'r', 'sales', 'pharmaceutical', 'biotechnology', 'networking community', 'communicate', 'english', 'leadership', 'license']"
613,HR Manager for Ecommerce,Manajer/Asisten Manajer,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['system integration', 'process improvement', 'human resource policy', 'change management', 'technical documentation', 'computer science', 'information system', 'personal computer', 'act', 'subject matter', 'human resources', 'operations', 'processes systems', 'revised', 'communication', 'translate', 'controls manage', 'coordinate', 'communication skills', 'developing human', 'software applications', 'database management']"
614,Assistant - Plantation - Penempatan Kalimantan Tengah,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['agriculture', 'aquaculture', 'forestry', 'non']"
617,"Area Coordinator (Balikpapan, Medan, Pekanbaru, Palembang, Makassar, dan Denpasar)",Supervisor/Koordinator,3 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['plan', 'manage', 'operations', 'targets', 'parameters', 'coordinate', 'supervise', 'plan develop', 'employee performance', 'business reports', 'communicate', 'business plan', 'operation manager', 'adapt']"
620,Accounting Staff,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['payment processing', 'account payable', 'account receivable', 'organizational skill', 'computer literacy', 'time management', 'erp', 'managing accounting', 'finance', 'professional', 'accounting', 'added', 'english', 'financial reporting', 'analytical', 'adaptability']"
621,HR Staff,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['human resource policy', 'business administration', 'write communication', 'organizational skill', 'computer literacy', 'hris', 'procedures laws', 'schedules', 'coordinating', 'onboarding', 'management', 'psychology', 'verbal communication', 'communication written', 'communicate', 'adapt', 'teamwork', 'research']"
623,Danamon Bankers Trainee,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['toefl', 'toeic', 'transformation', 'persistent', 'resilient', 'analytical', 'communication']"
625,Financial Analyst,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),"['financial datum', 'credit report', 'market development', 'capital market', 'credit rating', 'analytical', 'research', 'writing', 'comments', 'presenting', 'issuer', 'issuers', 'interaction', 'managing', 'english', 'banking', 'securities', 'adapt', 'prioritize']"
626,Personal Assistant / Secretary (Mandarin Speaker),Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['detail orient', 'english', 'personal assistant', 'multitasking']"
630,Junior Web Development,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak terspesifikasi,"['source code', 'version control', 'activity sequence', 'web application', 'relational database', 'database system', 'network diagnostic', 'html', 'css', 'case', 'programming languages', 'php', 'javascript', 'codeigniter', 'laravel', 'bootstrap', 'react', 'vue', 'mysql', 'jquery', 'ajax', 'git', 'entity relationship', 'diagram', 'flow chart', 'mapping', 'modelling language', 'unified language', 'language', 'flow diagram', 'analytic', 'security management', 'session', 'management', 'analytics']"
634,Frontend Developer,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['web application', 'responsive web design', 'web design', 'web usability', 'user experience', 'html', 'css', 'api', 'prototype', 'javascript', 'compatible', 'semantic', 'high performance', 'integrate', 'web technologies', 'preprocessors', 'sass', 'git', 'workflow', 'design patterns']"
637,Operations Manager,Manajer/Asisten Manajer,2 tahun,Sarjana (S1),"['operation management', 'business administration', 'conflict management', 'microsoft office', 'communication', 'management staff', 'operations', 'operational', 'operations reporting', 'management', 'negotiation', 'english']"
640,Asman Finance,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),"['tax law', 'analytical skill', 'tax management', 'financial statement', 'cash flow', 'finance', 'accounting', 'c', 'statistics', 'financial forecasts', 'budgeting']"
641,Business Development Area Sumatera Selatan & Jambi,Pegawai (non-manajemen & non-supervisor),2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['business development', 'e commerce', 'microsoft office', 'c']"
642,Telesurvey staff,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['analytical chemistry', 'information gathering', 'customer service', 'crm', 'targeted', 'telemarketing', 'acquisitions customer', 'chemistry analytical', 'reading', 'communication', 'self motivated', 'read', 'friendly', 'management', 'java']"
644,TRAINER AREA DEPOK,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['service management', 'hotel management', 'hospitality', 'tourism', 'beverages']"
645,SALES COORDINATOR - AREA TERNATE & PULAU HALMAHERA,Supervisor/Koordinator,1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['gross margin', 'record management', 'account receivable', 'sale order', 'sale administration', 'market area', 'food service', 'interpersonal communication', 'sales', 'budget', 'schedule', 'collection', 'advised', 'management', 'self motivated', 'food products', 'bakery', 'english', 'planning']"
646,Executive Chef,Manajer/Asisten Manajer,5 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['food procurement', 'occupational health', 'beverage product', 'creative', 'innovative', 'english', 'plan', 'targets', 'supervising', 'supervise', 'safe', 'sale', 'food', 'calculated', 'cooperation', 'managers', 'kitchen', 'supervision', 'storage areas', 'operations']"
647,Marketing Executive,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['business to business', 'smart card', 'security printing', 'microsoft office', 'bahasa', 'sales']"
651,Spv Procurement,Supervisor/Koordinator,5 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['microsoft office', 'write communication', 'execute', 'procurement', 'budget', 'management', 'bidding', 'support business', 'operation', 'purchase', 'manage', 'positive', 'negotiating', 'alterations', 'negotiate', 'multitask', 'prioritize', 'manage time']"
653,Field Operations Officer,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['training and development', 'communicate', 'registration', 'collection', 'coordinate', 'finance', 'performance monitoring', 'logistics', 'trustworthy', 'communication', 'containerized']"
654,"Executive, Television Audience Measurement (TAM) Production",Tidak Terspesifikasi,,Tidak terspesifikasi,"['analytical skill', 'microsoft office', 'social medium', 'apa', 'ide', 'ad', 'investigating', 'automation', 'programming', 'java', 'python', 'linux', 'communicate', 'english', 'ads', 'truth', 'reliable', 'podcasts', 'advertisers', 'armed', 'bahasa', 'podcast']"
658,Tax Staff,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak terspesifikasi,"['calculation', 'preparing tax', 'tax', 'accounts', 'accounting', 'communication skill', 'self motivated']"
662,Sales Executive,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['freight forwarding', 'english', 'sales', 'non', 'negotiation', 'communication skill']"
663,Senior Vetting Inspector (Deck),Manajer/Asisten Manajer,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['remedial action', 'oil tanker', 'ship management', 'problem solve', 'organizational skill', 'psa', 'management', 'promulgate', 'deficiencies', 'read', 'dispatch', 'requirements', 'ant', 'senior engineer', 'operational', 'positive', 'communicate', 'english', 'communication', 'analytical']"
664,Sourcing Specialist,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['negotiate', 'purchase', 'forecast', 'communication', 'negotiation', 'english']"
666,Admin Staff (Semarang),Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['accounting management', 'business relationship', 'finance', 'analytical thinking']"
668,Inbound Sales Executive,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['operational efficiency', 'venture capital', 'financial service', 'inbound marketing', 'marketing channel', 'microsoft excel', 'digitize', 'sales', 'unlock', 'brand', 'pave', 'c', 'read', 'new business', 'track', 'targets', 'communicate', 'negotiation', 'manage', 'operate', 'management', 'collaborative']"
672,IT Programmer,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['html', 'api', 'css', 'react', 'javascript', 'mysql', 'rest api', 'php', 'application design', 'bootstrap', 'maintainable', 'performing tests']"
675,Software Test Engineer,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,Sarjana (S1),"['test case', 'mobile app', 'performance testing', 'performance analysis', 'information system', 'operating system', 'personal integrity', 'problem solve', 'pension fund', 'api', 'self motivated', 'software test engineers', 'automation', 'execute', 'scripts', 'web apps', 'executing', 'functionality testing', 'manage', 'bug reports', 'communicate', 'write documentation', 'test report', 'engineering computer', 'telecommunication', 'programming', 'scripting', 'c', 'vbscript', 'basic networking', 'automation test', 'principles solid', 'analytical', 'automation testing', 'manual testing', 'intrapreneurship', 'session']"
679,Mandarin Translator & Interpreter,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['chinese literature', 'self discipline', 'coordination', 'enthusiasm', 'translator', 'reading', 'communication skills', 'english', 'cooperation', 'recruitment process']"
681,Team Assistant,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['organizational communication', 'client service', 'professional', 'notes applications', 'proactiveness', 'files managing', 'managing team', 'scheduling', 'data entry']"
682,CMS Administrator,Pegawai (non-manajemen & non-supervisor),3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['content management', 'content management system', 'management system', 'user experience', 'product design', 'informatic engineering', 'information system', 'web design', 'google analytic', 'cms', 'api', 'html', 'css', 'com', 'localized', 'positive', 'optimize websites', 'libraries', 'taxonomies', 'analytics', 'wordpress', 'php', 'sql', 'javascript', 'accounts', 'employer applications']"
684,C# Progammer (.NET MVC),Pegawai (non-manajemen & non-supervisor),3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['computer science', 'web development', 'entity framework', 'store procedure', 'net framework', 'web service', 'object orient analysis and design', 'ssis', 'api', 'soap', 'xml', 'c', 'net mvc', 'javascript', 'jquery', 'angular', 'scripting languages', 'sql', 'ajax', 'wcf', 'bootstrap', 'uml', 'communication skills']"
685,Project Admin,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,"['microsoft office', 'telecommunication', 'english', 'telecommunications', 'communication skills', 'teamwork', 'coordination']"
686,Kids Club Coordinator/Supervisor,Supervisor/Koordinator,1 tahun,Tidak terspesifikasi,"['nurse midwife', 'foreign language', 'supervise', 'professional', 'friendly', 'supervision', 'supervised', 'hygiene', 'added', 'positive', 'english', 'french', 'mobility']"
687,Content Writer,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,Tidak terspesifikasi,"['english language', 'managment team', 'positive attitude', 'writing', 'research']"
688,E-Commerce Manager,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),"['primary health care', 'general practitioner', 'e commerce', 'performance report', 'project management', 'digital marketing', 'marketing strategy', 'innovative', 'interactive technology', 'pharmacies operating', 'java', 'professional', 'manager', 'manage', 'sales', 'testing development', 'digital marketers', 'improve quality', 'data driven', 'research market', 'improve performance', 'marketing business', 'analytical', 'communication skills', 'english', 'bahasa', 'presentations', 'supervision']"
689,IT Services Desk Specialist,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),"['it infrastructure', 'data center', 'service desk', 'internet service', 'service provider', 'incident manager', 'communication services', 'infrastructure', 'plan', 'informatica', 'system information', 'communication', 'process flow', 'data', 'data analysis', 'services infrastructure']"
690,Sr. PR & Partnership,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),"['public relation', 'mass medium', 'business development', 'relationship management', 'analytical thinking', 'press release', 'brand awareness', 'act', 'advertising', 'media mass', 'managing strategic', 'coordinating', 'managing effective', 'electronic', 'negotiation', 'communication skills', 'detailed oriented', 'google apps', 'spreadsheet', 'sourcing', 'collaborate', 'timeline', 'planning developing', 'branding', 'inquiries', 'newsletter', 'plan', 'effectively manage', 'mitigate']"
693,Retail Store Developer / Visual Merchandiser Manager,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),"['interior design', 'architecture interior', 'consultant', 'communication', 'negotiation']"
694,IT Audit Assistant Manager,Manajer/Asisten Manajer,3 tahun,Tidak terspesifikasi,"['information technology', 'computer science', 'computer engineering', 'problem solve', 'big datum', 'web development', 'gcp', 'perform audit', 'audit', 'audits', 'data sources', 'collection', 'interactive data', 'data visualization', 'scalable', 'maintainability', 'internal audit', 'audit reports', 'mathematics statistics', 'accounting', 'analytics', 'linux']"
695,Cybersecurity Auditor,Tidak Terspesifikasi,,Tidak terspesifikasi,"['application server', 'vulnerability assessment', 'wireless network', 'information system', 'computer science', 'information technology', 'penetration testing', 'information security management', 'information security management system', 'management system', 'it service management', 'service management', 'problem solve', 'pci', 'middleware', 'infrastructure', 'cybersecurity', 'vulnerabilities', 'sales', 'manager', 'management', 'acting', 'brand', 'information security', 'auditing', 'consulting', 'dss', 'communication', 'presentation', 'professional', 'thinking analytical', 'supervision', 'write', 'agile', 'collaborative']"
698,GURU TETAP FISIKA SINOTIF,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,1 tahun,Sarjana (S1),"['android', 'drawing', 'software', 'online office', 'zoom']"
699,Corporate Tax Manager,Manajer/Asisten Manajer,3 tahun,Tidak terspesifikasi,"['tax compliance', 'tax return', 'filings', 'filing', 'collection', 'new businesses', 'managing tax', 'audit process', 'finance', 'consultants', 'advise', 'management', 'operation']"
701,Project Executive,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['manage project', 'project', 'schedule project', 'planning', 'communication skill', 'analytical']"
